time_min,height_fraction,nmp_state,lock_fraction,stress_mpa,modulus_mpa
1,0.12295082,0.98082219,0.00032928062,9.490865e-07,0.020179135
1,0.13934426,0.98035518,0.00033271454,9.6619224e-07,0.020181945
1,0.1557377,0.9798274,0.00033663842,9.8545854e-07,0.020185173
1,0.17213115,0.979238,0.00034107515,1.0068941e-06,0.020188846
1,0.18852459,0.97858602,0.00034605099,1.0305088e-06,0.020192993
1,0.20491803,0.97787044,0.00035159591,1.056314e-06,0.02019765
1,0.22131148,0.97709009,0.00035774394,1.0843221e-06,0.020202857
1,0.23770492,0.97624373,0.00036453355,1.1145473e-06,0.020208659
1,0.25409836,0.97533002,0.00037200817,1.1470047e-06,0.02021511
1,0.2704918,0.9743475,0.0003802167,1.1817112e-06,0.020222269
1,0.28688525,0.97329462,0.00038921419,1.218685e-06,0.020230205
1,0.30327869,0.9721697,0.00039906251,1.2579458e-06,0.020238997
1,0.31967213,0.97097098,0.00040983129,1.2995154e-06,0.020248736
1,0.33606557,0.96969656,0.00042159883,1.3434172e-06,0.020259526
1,0.35245902,0.96834444,0.0004344533,1.3896769e-06,0.020271485
1,0.36885246,0.9669125,0.00044849403,1.4383229e-06,0.020284752
1,0.3852459,0.96539848,0.0004638331,1.4893868e-06,0.020299484
1,0.40163934,0.96380002,0.00048059713,1.5429036e-06,0.020315866
1,0.41803279,0.96211461,0.00049892937,1.5989135e-06,0.020334111
1,0.43442623,0.96033961,0.00051899225,1.6574621e-06,0.020354465
1,0.45081967,0.95847223,0.00054097024,1.7186021e-06,0.020377217
1,0.46721311,0.95650955,0.00056507328,1.782395e-06,0.020402707
1,0.48360656,0.95444846,0.00059154093,1.8489132e-06,0.020431329
1,0.5,0.95228572,0.00062064708,1.9182428e-06,0.020463552
1,0.51639344,0.9500179,0.00065270575,1.9904867e-06,0.020499928
1,0.53278689,0.94764141,0.00068807795,2.0657688e-06,0.020541113
